                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          5.0000000000000000E+000          4.0000000000000000E+000          3.6500000000000000E+003                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230201" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                             115          8.3154513666405931E+007          3.6499999999926399E+003          2.0751390522779479E+003          1.2783799488107919E+001          1.5979749360134900E+001          8.2669360806976408E+002          7.4657757891819142E+002         -9.9414878180229638E-001         -9.9576593599727281E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774749E+054         -4.6969086184541990E+026          0.0000000000000000E+000         -4.6969086184541990E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             120          8.3188026234554932E+007          3.6499999999926399E+003          2.0751390522779479E+003          1.2783799488107919E+001          1.5979749360134900E+001          8.2669360806976408E+002          7.4657757891819142E+002         -9.9420215460580819E-001         -9.9576526705273249E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774749E+054         -4.6969086184541990E+026          0.0000000000000000E+000         -4.6969086184541990E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             125          8.3205857973608419E+007          3.6499999999926399E+003          2.0751390522779479E+003          1.2783799488107919E+001          1.5979749360134900E+001          8.2669360806976408E+002          7.4657757891819142E+002         -9.9420993090926224E-001         -9.9576491097561193E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774749E+054         -4.6969086184541990E+026          0.0000000000000000E+000         -4.6969086184541990E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             130          8.3217186643514320E+007          3.6499999999926399E+003          2.0751390522779479E+003          1.2783799488107919E+001          1.5979749360134900E+001          8.2669360806976408E+002          7.4657757891819142E+002         -9.9419704317643309E-001         -9.9576468470606039E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774749E+054         -4.6969086184541990E+026          0.0000000000000000E+000         -4.6969086184541990E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             135          8.3227356921213299E+007          3.6499999999926399E+003          2.0751390522779479E+003          1.2783799488107919E+001          1.5979749360134900E+001          8.2669360806976408E+002          7.4657757891819142E+002         -9.9416724133064571E-001         -9.9576448154002373E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774749E+054         -4.6969086184541990E+026          0.0000000000000000E+000         -4.6969086184541990E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             140          8.3240206724002004E+007          3.6499999999926399E+003          2.0751390522779479E+003          1.2783799488107919E+001          1.5979749360134900E+001          8.2669360806976408E+002          7.4657757891819142E+002         -9.9410066919952178E-001         -9.9576422480115012E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774749E+054         -4.6969086184541990E+026          0.0000000000000000E+000         -4.6969086184541990E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             145          8.3256312221739471E+007          3.6499999999926399E+003          2.0751390522779479E+003          1.2783799488107919E+001          1.5979749360134900E+001          8.2669360806976408E+002          7.4657757891819142E+002         -9.9398625941475904E-001         -9.9576390294196182E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774749E+054         -4.6969086184541990E+026          0.0000000000000000E+000         -4.6969086184541990E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             150          8.3275127683093801E+007          3.6499999999926399E+003          2.0751390522779479E+003          1.2783799488107919E+001          1.5979749360134900E+001          8.2669360806976408E+002          7.4657757891819142E+002         -9.9385109056739673E-001         -9.9576352682641511E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774749E+054         -4.6969086184541990E+026          0.0000000000000000E+000         -4.6969086184541990E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             155          8.3296630030834049E+007          3.6499999999926399E+003          2.0751390522779479E+003          1.2783799488107919E+001          1.5979749360134900E+001          8.2669360806976408E+002          7.4657757891819142E+002         -9.9372615261738229E-001         -9.9576309687244868E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774749E+054         -4.6969086184541990E+026          0.0000000000000000E+000         -4.6969086184541990E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             160          8.3320111346952796E+007          3.6499999999926399E+003          2.0751390522779479E+003          1.2783799488107919E+001          1.5979749360134900E+001          8.2669360806976408E+002          7.4657757891819142E+002         -9.9362252113526162E-001         -9.9576262719455610E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774749E+054         -4.6969086184541990E+026          0.0000000000000000E+000         -4.6969086184541990E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             165          8.3345364847120449E+007          3.6499999999926399E+003          2.0751390522779479E+003          1.2783799488107919E+001          1.5979749360134900E+001          8.2669360806976408E+002          7.4657757891819142E+002         -9.9353491496917368E-001         -9.9576212189292768E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774749E+054         -4.6969086184541990E+026          0.0000000000000000E+000         -4.6969086184541990E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             170          8.3371691774180666E+007          3.6499999999926399E+003          2.0751390522779479E+003          1.2783799488107919E+001          1.5979749360134900E+001          8.2669360806976408E+002          7.4657757891819142E+002         -9.9345996697278005E-001         -9.9576159491959437E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774749E+054         -4.6969086184541990E+026          0.0000000000000000E+000         -4.6969086184541990E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
