                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          5.0000000000000000E+000          2.0000000000000000E+000          1.8262109900000003E+003                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230131" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              50          3.3330338415858444E+007          1.8262109899949062E+003          1.2027382017908656E+003          9.5200721169239522E+000          2.3800180292309882E+001          5.5310722630289081E+002          3.6449293482257406E+002         -9.9418565406707882E-001         -9.9547299451036186E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834504595E+053         -6.9862838699536045E+026          0.0000000000000000E+000         -6.9862838699536045E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              55          4.1407400901468940E+007          1.8262109899936731E+003          1.2027382017903242E+003          9.5200721169260962E+000          2.3800180292315240E+001          5.5310722630264183E+002          3.6449293482241006E+002         -9.9386121377017200E-001         -9.9545715855960670E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834486781E+053         -6.9862838699648401E+026          0.0000000000000000E+000         -6.9862838699648401E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              60          4.8604937082598366E+007          1.8262109899925754E+003          1.2027382017898424E+003          9.5200721169280023E+000          2.3800180292320011E+001          5.5310722630242014E+002          3.6449293482226403E+002         -9.9351357443443378E-001         -9.9544290015263459E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834470907E+053         -6.9862838699748856E+026          0.0000000000000000E+000         -6.9862838699748856E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              65          5.4998826460022405E+007          1.8262109899916013E+003          1.2027382017894147E+003          9.5200721169296951E+000          2.3800180292324242E+001          5.5310722630222347E+002          3.6449293482213437E+002         -9.9313787496451922E-001         -9.9543014552785969E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834456819E+053         -6.9862838699838040E+026          0.0000000000000000E+000         -6.9862838699838040E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              70          6.0667982349521190E+007          1.8262109899907377E+003          1.2027382017890354E+003          9.5200721169311961E+000          2.3800180292327990E+001          5.5310722630204907E+002          3.6449293482201944E+002         -9.9273177853036942E-001         -9.9541878264254258E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834444331E+053         -6.9862838699916985E+026          0.0000000000000000E+000         -6.9862838699916985E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              75          6.5725854192107439E+007          1.8262109899899656E+003          1.2027382017886964E+003          9.5200721169325373E+000          2.3800180292331344E+001          5.5310722630189321E+002          3.6449293482191672E+002         -9.9228745954215469E-001         -9.9540860432800660E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834433187E+053         -6.9862838699987285E+026          0.0000000000000000E+000         -6.9862838699987285E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              80          7.0201714758728310E+007          1.8262109899892828E+003          1.2027382017883965E+003          9.5200721169337239E+000          2.3800180292334314E+001          5.5310722630175542E+002          3.6449293482182588E+002         -9.9180546902916777E-001         -9.9539956675503949E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834423319E+053         -6.9862838700049723E+026          0.0000000000000000E+000         -6.9862838700049723E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              85          7.4172628122889385E+007          1.8262109899886780E+003          1.2027382017881312E+003          9.5200721169347755E+000          2.3800180292336940E+001          5.5310722630163332E+002          3.6449293482174545E+002         -9.9128705318522436E-001         -9.9539152527017571E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834414573E+053         -6.9862838700105097E+026          0.0000000000000000E+000         -6.9862838700105097E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              90          7.7675279532960072E+007          1.8262109899881459E+003          1.2027382017878972E+003          9.5200721169357010E+000          2.3800180292339249E+001          5.5310722630152577E+002          3.6449293482167451E+002         -9.9075568960988858E-001         -9.9538441384173482E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834406866E+053         -6.9862838700153943E+026          0.0000000000000000E+000         -6.9862838700153943E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              95          8.0679583092366591E+007          1.8262109899876873E+003          1.2027382017876960E+003          9.5200721169364968E+000          2.3800180292341238E+001          5.5310722630143312E+002          3.6449293482161357E+002         -9.9032719596084606E-001         -9.9537830046677311E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834400248E+053         -6.9862838700196728E+026          0.0000000000000000E+000         -6.9862838700196728E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             100          8.2294983273559079E+007          1.8262109899874415E+003          1.2027382017875880E+003          9.5200721169369231E+000          2.3800180292342311E+001          5.5310722630138355E+002          3.6449293482158089E+002         -9.9036354297963569E-001         -9.9537500802779644E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834396692E+053         -6.9862838700222992E+026          0.0000000000000000E+000         -6.9862838700222992E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             105          8.2873410212774962E+007          1.8262109899873531E+003          1.2027382017875493E+003          9.5200721169370777E+000          2.3800180292342695E+001          5.5310722630136570E+002          3.6449293482156912E+002         -9.9070783405684537E-001         -9.9537382819082521E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834395416E+053         -6.9862838700232778E+026          0.0000000000000000E+000         -6.9862838700232778E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
